page_number,frontend_id,title,titleSlug,difficulty,is_premium,topic_tags,num_tags,similar_questions,no_similar_questions,acceptance,accepted,submission,acceptance_rate,discussion_count,likes,dislikes,like_ratio,likebility,is_popular,problem_URL,solution_URL,internal_id,description,last_updated
14,698,Partition to K Equal Sum Subsets,partition-to-k-equal-sum-subsets,Medium,False,"['Array', 'Dynamic Programming', 'Backtracking', 'Bit Manipulation', 'Memoization', 'Bitmask']",94.0,"['[""[\'Partition Equal Subset Sum\'""', '""\'Fair Distribution of Cookies\'""', '""\'Maximum Number of Ways to Partition an Array\'""', '""\'Maximum Rows Covered by Columns\'""', '""\'Maximum Product of Two Integers With No Common Bits\']""]']",5,38.25764548728623,324204,847419,38.26,112,7446,546,0.93,93.0,True,https://leetcode.com/problems/partition-to-k-equal-sum-subsets/,https://leetcode.com/problems/partition-to-k-equal-sum-subsets/solution/,,,
14,699,Falling Squares,falling-squares,Hard,False,"['Array', 'Segment Tree', 'Ordered Set']",40.0,"['[""[\'The Skyline Problem\']""]']",1,46.85235067062842,33744,72022,46.85,13,667,76,0.9,90.0,False,https://leetcode.com/problems/falling-squares/,https://leetcode.com/problems/falling-squares/solution/,,,
14,700,Search in a Binary Search Tree,search-in-a-binary-search-tree,Easy,False,"['Tree', 'Binary Search Tree', 'Binary Tree']",45.0,"['[""[\'Closest Binary Search Tree Value\'""', '""\'Insert into a Binary Search Tree\'""', '""\'Closest Nodes Queries in a Binary Search Tree\']""]']",3,82.20811617067702,1265156,1538968,82.21,76,6416,211,0.97,97.0,True,https://leetcode.com/problems/search-in-a-binary-search-tree/,https://leetcode.com/problems/search-in-a-binary-search-tree/solution/,,,
15,701,Insert into a Binary Search Tree,insert-into-a-binary-search-tree,Medium,False,"['Tree', 'Binary Search Tree', 'Binary Tree']",45.0,"['[""[\'Search in a Binary Search Tree\']""]']",1,73.32295467567323,778055,1061138,73.32,68,6298,186,0.97,97.0,True,https://leetcode.com/problems/insert-into-a-binary-search-tree/,https://leetcode.com/problems/insert-into-a-binary-search-tree/solution/,,,
15,702,Search in a Sorted Array of Unknown Size,search-in-a-sorted-array-of-unknown-size,Medium,True,"['Array', 'Binary Search', 'Interactive']",41.0,"['[""[\'Binary Search\'""', '""\'Find the Index of the Large Integer\']""]']",2,72.96415644912624,110270,151129,72.96,10,936,51,0.95,95.0,True,https://leetcode.com/problems/search-in-a-sorted-array-of-unknown-size/,,,,
15,703,Kth Largest Element in a Stream,kth-largest-element-in-a-stream,Easy,False,"['Tree', 'Design', 'Binary Search Tree', 'Heap (Priority Queue)', 'Binary Tree', 'Data Stream']",95.0,"['[""[\'Kth Largest Element in an Array\'""', '""\'Finding MK Average\'""', '""\'Sequentially Ordinal Rank Tracker\']""]']",3,60.34190094447291,896171,1485159,60.34,224,6281,4005,0.61,61.0,True,https://leetcode.com/problems/kth-largest-element-in-a-stream/,https://leetcode.com/problems/kth-largest-element-in-a-stream/solution/,,,
15,704,Binary Search,binary-search,Easy,False,"['Array', 'Binary Search']",26.0,"['[""[\'Search in a Sorted Array of Unknown Size\'""', '""\'Maximum Count of Positive Integer and Negative Integer\']""]']",2,60.09062026678286,3500361,5825146,60.09,189,13013,287,0.98,98.0,True,https://leetcode.com/problems/binary-search/,https://leetcode.com/problems/binary-search/solution/,,,
15,705,Design HashSet,design-hashset,Easy,False,"['Array', 'Hash Table', 'Linked List', 'Design', 'Hash Function']",65.0,"['[""[\'Design HashMap\'""', '""\'Design Skiplist\']""]']",2,67.42286578513279,530947,787489,67.42,74,3979,324,0.92,92.0,True,https://leetcode.com/problems/design-hashset/,https://leetcode.com/problems/design-hashset/solution/,,,
15,706,Design HashMap,design-hashmap,Easy,False,"['Array', 'Hash Table', 'Linked List', 'Design', 'Hash Function']",65.0,"['[""[\'Design HashSet\'""', '""\'Design Skiplist\']""]']",2,66.12915303468863,715321,1081705,66.13,111,5352,494,0.92,92.0,True,https://leetcode.com/problems/design-hashmap/,https://leetcode.com/problems/design-hashmap/solution/,,,
15,707,Design Linked List,design-linked-list,Medium,False,"['Linked List', 'Design']",25.0,"['[""[\'Design Skiplist\']""]']",1,29.48294190276852,446528,1514529,29.48,96,2955,1669,0.64,64.0,True,https://leetcode.com/problems/design-linked-list/,https://leetcode.com/problems/design-linked-list/solution/,,,
